Date,Time,Open,High,Low,Close,Volume
2024.11.11,21:00,2618.93,2620.6,2617.82,2619.11,2936
2024.11.11,20:00,2612.54,2619.21,2610.59,2618.96,3824
2024.11.11,19:00,2615.16,2616.96,2611.52,2612.56,4092
2024.11.11,18:00,2614.54,2618.05,2612.55,2614.91,5020
2024.11.11,17:00,2623.04,2626.28,2613.45,2614.55,5842
2024.11.11,16:00,2635.54,2635.63,2617.71,2622.48,6303
2024.11.11,15:00,2657.1,2657.53,2634.33,2635.49,6092
2024.11.11,14:00,2662.62,2663.19,2656.68,2657.24,4647
2024.11.11,13:00,2661.86,2666.99,2658.97,2662.6,4482
2024.11.11,12:00,2666.84,2675.33,2660.95,2661.91,4543
2024.11.11,11:00,2669.51,2670.85,2663.85,2666.85,4657
2024.11.11,10:00,2669.37,2671.75,2667.6,2669.52,4636
2024.11.11,9:00,2673.27,2674.03,2668.83,2669.57,4403
2024.11.11,8:00,2669.22,2674.05,2668.48,2673.21,4075
2024.11.11,7:00,2672.19,2674.26,2667.04,2669.24,4112
2024.11.11,6:00,2670.19,2672.35,2668.86,2672.14,3386
2024.11.11,5:00,2671.74,2671.98,2668.03,2670.3,3356
2024.11.11,4:00,2673.02,2675.12,2666.43,2671.99,4631
2024.11.11,3:00,2683.91,2684.8,2671.89,2672.99,5609
2024.11.11,2:00,2685.62,2686.22,2682.56,2683.98,2530
2024.11.11,1:00,2682.96,2685.68,2678.87,2685.68,2528
2024.11.08,23:00,2685.06,2685.88,2682.74,2684.15,1318
2024.11.08,22:00,2686.96,2688.56,2684.91,2685.02,3200
2024.11.08,21:00,2685.12,2687.53,2683.26,2687.09,3260
2024.11.08,20:00,2687.89,2688.75,2683.83,2684.91,3811
2024.11.08,19:00,2683.43,2688.47,2683.43,2687.89,4348
2024.11.08,18:00,2687.47,2689.22,2682.98,2683.28,5060
2024.11.08,17:00,2690.07,2692.87,2683.46,2687.53,6091
2024.11.08,16:00,2697.69,2704.1,2687.85,2691.54,6059
2024.11.08,15:00,2691.55,2701.04,2687.92,2697.57,5988
