datetime,Open,High,Low,Close,Volume,EMA25,EMA50,EMA100,MACD,MACD_Signal,MACD_Hist,K,D,J,BB_Mid,BB_Upper,BB_Lower,ATR,Ichimoku_Conversion,Ichimoku_Base,Ichimoku_Leading_A,Ichimoku_Leading_B,SAR
2024-01-08 21:00:00,1.09554,1.09629,1.09529,1.0961,7106,1.0949852,1.0946689,1.0954603,0.0006158264,0.0004292661,0.00018656031,65.945244,71.56449,54.70674,1.0948095,1.0973232,1.0922959,0.0013992857,1.095785,1.09507,1.0954275,1.093785,1.0925816
2024-01-08 22:00:00,1.0961,1.0961,1.09491,1.09539,8421,1.0950164,1.0946971,1.0954589,0.00055566744,0.00045454636,0.00010112106,57.312817,66.813934,38.310577,1.094837,1.0973641,1.09231,0.0014085714,1.095805,1.09507,1.0954375,1.093785,1.0926878
2024-01-08 23:00:00,1.09538,1.09558,1.09492,1.09496,3354,1.0950121,1.0947075,1.095449,0.00046789992,0.00045721707,1.0682855e-05,44.710377,59.44608,15.238964,1.0948455,1.097373,1.0923179,0.0013635714,1.09607,1.09507,1.09557,1.093785,1.0927919
2024-01-09 00:00:00,1.09525,1.0955,1.0945,1.09512,4659,1.0950203,1.0947237,1.0954424,0.00040656756,0.00044708716,-4.0519608e-05,35.90328,51.59848,4.5128756,1.094916,1.0973883,1.0924437,0.00132,1.096195,1.09507,1.0956326,1.093785,1.0928938
2024-01-09 01:00:00,1.09508,1.09527,1.09493,1.09496,1489,1.0950156,1.0947329,1.0954329,0.00034111837,0.0004258934,-8.477505e-05,28.458626,43.885197,-2.3945122,1.094999,1.0973513,1.0926466,0.0012014286,1.096195,1.09507,1.0956326,1.093785,1.0929937
2024-01-09 02:00:00,1.09496,1.09593,1.09491,1.09551,4462,1.0950537,1.0947634,1.0954344,0.00032982774,0.00040668028,-7.685253e-05,28.903587,38.891327,8.92811,1.0951045,1.0973413,1.0928676,0.0012071428,1.096195,1.09507,1.0956326,1.093785,1.0930917
2024-01-09 03:00:00,1.09551,1.09619,1.09513,1.09614,5084,1.0951372,1.0948174,1.0954484,0.00036747952,0.00039884011,-3.1360607e-05,35.442627,37.74176,30.844364,1.095224,1.0974109,1.093037,0.0011828571,1.09619,1.09507,1.09563,1.093785,1.0931877
2024-01-09 04:00:00,1.09615,1.09649,1.09605,1.09627,4184,1.0952244,1.0948744,1.0954647,0.00040316134,0.00039970435,3.4569703e-06,51.858086,42.4472,70.67985,1.09531,1.0975205,1.0930995,0.0011342857,1.095545,1.09507,1.0953075,1.093785,1.0932817
2024-01-09 05:00:00,1.09627,1.09664,1.09605,1.09627,3208,1.0953048,1.0949291,1.0954807,0.00042652275,0.00040506804,2.1454704e-05,62.14215,49.012184,88.40208,1.095397,1.0976152,1.0931787,0.0010771429,1.09557,1.09507,1.09532,1.093785,1.0933739
2024-01-09 06:00:00,1.09628,1.0963,1.09532,1.0956,3255,1.0953275,1.0949554,1.095483,0.0003865179,0.000401358,-1.4840119e-05,58.562057,52.195477,71.29522,1.095508,1.0975132,1.0935028,0.00105,1.09557,1.09507,1.09532,1.093785,1.0934643
2024-01-09 07:00:00,1.09561,1.09563,1.09477,1.09498,3669,1.0953008,1.0949564,1.095473,0.0003013116,0.00038134874,-8.003712e-05,46.518005,50.302986,38.948048,1.095572,1.0974089,1.0937351,0.0009714286,1.09557,1.09507,1.09532,1.093785,1.0935527
2024-01-09 08:00:00,1.09496,1.09551,1.09478,1.09503,6992,1.0952799,1.0949593,1.0954642,0.0002351094,0.00035210088,-0.00011699146,39.267456,46.624474,24.553417,1.095611,1.0973607,1.0938612,0.00094642857,1.09557,1.09507,1.09532,1.093785,1.0936395
